product_type_id,product_type
1,Kitchen
2,Food - Prepared Foods
3,Food - Snacks
4,Outdoor
5,Food - Condiments
6,Electronics
7,Accessories
8,Food - Bakery
9,Home
10,Pets
11,Garden
12,Health
13,Toys
14,Food - Canned Goods
15,Food - Beverages
16,Storage
17,Food - Breakfast
18,Photography
19,Food - Dairy Alternatives
20,Food - Cheese
21,Food - Soups
22,Food - Grains
23,Smart Home
24,Fitness
25,Food - Meats
26,Food - Frozen Foods
27,Food - Salads
28,Food - Pasta
29,Clothing - Dresses
30,Home Appliances
31,Clothing - Outerwear
32,Crafts
33,Food - Baking
34,Food - Meat
35,Food - Produce
36,Food - Fresh Produce
37,Food - Dairy
38,Travel
39,Art Supplies
40,Food - Baking Goods
41,Food - Vegetable
42,Footwear
43,Clothing - Loungewear
44,Food - Baking & Cooking
45,Food - Sauces
46,Food
47,Food - Oils & Vinegars
48,Food - Cereal
49,Beauty
50,Gaming
51,Automotive
52,Office
53,Audio
54,Sports
55,Clothing - Activewear
56,Food - Dried Fruits
57,Clothing - Pants
58,Clothing - Footwear
59,Food - Prepared Meals
60,Food - Spices
61,Clothing - Accessories
62,Food - Oils
63,Furniture
64,Food - Meal Kits
65,Home Improvement
66,Food - Frozen Desserts
67,Food - Seafood
68,Computers
69,Food - Deli Meats
70,Baby
71,Food - Frozen Meals
72,Food - Frozen
73,Clothing - Tops
74,Food - Desserts
75,Tools
76,Food - Nut Butters
77,Clothing - Jumpsuits
78,Food - Grab-and-Go
79,Bicycles
80,Clothing - Bottoms
81,Food - Fruits
82,Food - Sides
83,Food - Frozen Food
84,Food - Nuts
85,Food - Grocery
86,Wearable Tech
87,Food - Vegetables
88,Food - Canned Soups
89,Food - Baked Goods
90,Food - Vegetarian
91,Clothing - Shirts
92,Food - Bread
93,Clothing - Shoes
94,Bathroom
95,Clothing
96,Clothing - Coats
97,Music
98,Food - Cooking Oil
99,Food - Jams & Jellies
100,Books
101,Clothing - Sweaters
102,Safety
103,Food - Spices & Seasonings
104,Food - Dressing
105,Food - Marinades
106,Clothing - Skirts
107,Food - Supplements
108,Food - Freezer
109,Food - Cooking Kits
110,Food - Confectionery
111,Food - Health Foods
112,Food - Dips